,movie,year,runtime,imdb,metascore,votes,grossMillions
0,Dara of Jasenovac,2020,112,8.7,,51892,13.18
1,Soul,2020,112,8.1,83.0,172275,13.18
2,Groundhog Day,1993,112,8.0,72.0,580305,13.18
3,The Sound of Music,1965,112,8.0,63.0,206581,13.18
4,Avengers: Endgame,2019,112,8.4,78.0,815967,13.18
5,Deadpool 2,2018,112,7.7,66.0,480793,13.18
6,Knives Out,2019,112,7.9,82.0,459106,13.18
7,The Trial of the Chicago 7,2020,112,7.8,77.0,94997,13.18
8,The Big Short,2015,112,7.8,81.0,365865,13.18
9,The Wolf of Wall Street,2013,112,8.2,75.0,1192789,13.18
10,The Godfather,1972,112,9.2,100.0,1624680,13.18
11,Sound of Metal,2019,112,7.8,81.0,30919,13.18
12,The Gentlemen,2019,112,7.8,51.0,241671,13.18
13,Parasite,2019,112,8.6,96.0,559372,13.18
14,Once Upon a Time... In Hollywood,2019,112,7.6,83.0,555127,13.18
15,Another Round,2020,112,7.8,81.0,38112,13.18
16,The Shawshank Redemption,1994,112,9.3,80.0,2348457,13.18
17,Bohemian Rhapsody,2018,112,8.0,49.0,452248,13.18
18,Harry Potter and the Sorcerer's Stone,2001,112,7.6,64.0,660050,13.18
19,Pulp Fiction,1994,112,8.9,94.0,1830472,13.18
20,The Lord of the Rings: The Fellowship of the Ring,2001,112,8.8,92.0,1665091,13.18
21,Interstellar,2014,112,8.6,74.0,1517232,13.18
22,1917,2019,112,8.3,78.0,430719,13.18
23,The Goonies,1985,112,7.8,62.0,244979,13.18
24,The Dark Knight,2008,112,9.0,84.0,2308309,13.18
25,Avengers: Infinity War,2018,112,8.4,68.0,838478,13.18
26,Joker,2019,112,8.4,59.0,945413,13.18
27,Inception,2010,112,8.8,74.0,2072234,13.18
28,Titanic,1997,112,7.8,75.0,1048420,13.18
29,Shutter Island,2010,112,8.2,63.0,1133396,13.18
30,Goodfellas,1990,112,8.7,90.0,1023533,13.18
31,Hamilton,2020,112,8.5,90.0,56590,13.18
32,Thor: Ragnarok,2017,112,7.9,74.0,589908,13.18
33,Back to the Future,1985,112,8.5,87.0,1060700,13.18
34,Se7en,1995,112,8.6,65.0,1448977,13.18
35,The Silence of the Lambs,1991,112,8.6,85.0,1273378,13.18
36,American Psycho,2000,112,7.6,64.0,492142,13.18
37,The Departed,2006,112,8.5,85.0,1192652,13.18
38,Guardians of the Galaxy,2014,112,8.0,76.0,1045405,13.18
39,Forrest Gump,1994,112,8.8,82.0,1814069,13.18
40,The Matrix,1999,112,8.7,73.0,1680344,13.18
41,Inglourious Basterds,2009,112,8.3,69.0,1271365,13.18
42,X-Men: Days of Future Past,2014,112,7.9,75.0,660758,13.18
43,Fight Club,1999,112,8.8,66.0,1859098,13.18
44,Jojo Rabbit,2019,112,7.9,58.0,300476,13.18
45,Gone Girl,2014,112,8.1,79.0,862017,13.18
46,Pride & Prejudice,2005,112,7.8,82.0,259725,13.18
47,Deadpool,2016,112,8.0,65.0,904406,13.18
48,Blade Runner 2049,2017,112,8.0,81.0,463552,13.18
49,The Intouchables,2011,112,8.5,57.0,762796,13.18
